data,bruto,docs
02-01-2025,240.700,11
03-01-2025,224.900,6
04-01-2025,141.700,5
05-01-2025,158.600,8
06-01-2025,108.500,4
07-01-2025,131.700,9
08-01-2025,142.600,6
09-01-2025,186.300,4
10-01-2025,123.230,5
13-01-2025,29.500,2
14-01-2025,71.800,3
15-01-2025,115.500,7
16-01-2025,25.000,2
17-01-2025,76.200,4
20-01-2025,205.100,7
21-01-2025,33.530,3
22-01-2025,156.700,7
23-01-2025,104.900,5
24-01-2025,282.000,11
27-01-2025,95.600,5
28-01-2025,111.800,4
29-01-2025,134.800,6
30-01-2025,26.300,4
31-01-2025,131.900,4
03-02-2025,188.200,7
04-02-2025,25.200,3
05-02-2025,274.500,12
06-02-2025,146.640,8
07-02-2025,182.900,7
10-02-2025,28.500,2
11-02-2025,127.900,7
12-02-2025,48.500,6
13-02-2025,99.100,4
14-02-2025,286.300,11
17-02-2025,123.700,5
18-02-2025,32.400,3
19-02-2025,189.400,9
20-02-2025,302.100,7
21-02-2025,336.050,10
24-02-2025,188.100,11
25-02-2025,25.000,1
26-02-2025,137.800,6
27-02-2025,249.900,10
28-02-2025,224.900,7
03-03-2025,185.000,9
04-03-2025,298.070,10
05-03-2025,83.900,4
06-03-2025,86.000,6
07-03-2025,130.400,6
10-03-2025,143.500,9
11-03-2025,86.300,5
12-03-2025,309.600,9
13-03-2025,158.800,7
14-03-2025,140.600,8
17-03-2025,128.400,3
18-03-2025,82.700,4
19-03-2025,134.900,7
20-03-2025,113.900,4
21-03-2025,193.300,10
25-03-2025,56.400,4
26-03-2025,193.300,6
27-03-2025,16.900,2
28-03-2025,213.500,8
29-03-2025,213.700,5
01-04-2025,145.900,7
02-04-2025,178.500,7
03-04-2025,154.000,7
04-04-2025,163.400,9
05-04-2025,213.800,6
08-04-2025,209.600,6
09-04-2025,49.400,2
10-04-2025,61.200,4
11-04-2025,210.400,9
12-04-2025,113.500,5
15-04-2025,26.900,2
16-04-2025,191.800,7
17-04-2025,109.200,6
18-04-2025,215.300,7
19-04-2025,155.200,5
22-04-2025,164.700,6
23-04-2025,199.400,10
24-04-2025,105.000,6
25-04-2025,190.500,9
26-04-2025,134.700,3
29-04-2025,171.400,5
30-04-2025,261.900,10
02-05-2025,201.600,7
03-05-2025,172.700,5
06-05-2025,116.500,5
07-05-2025,247.500,8
08-05-2025,289.000,12
09-05-2025,235.300,11
10-05-2025,280.800,10
13-05-2025,164.700,7
14-05-2025,156.600,7
15-05-2025,93.600,5
16-05-2025,129.200,7
17-05-2025,70.000,4
20-05-2025,256.200,13
21-05-2025,164.900,6
22-05-2025,133.200,5
23-05-2025,154.100,10
24-05-2025,99.200,5
27-05-2025,163.300,9
28-05-2025,74.700,3
29-05-2025,85.200,6
30-05-2025,394.300,16
31-05-2025,42.400,4
03-06-2025,223.400,7
04-06-2025,404.200,13
05-06-2025,224.600,8
06-06-2025,146.100,6
07-06-2025,287.900,9
10-06-2025,92.500,6
11-06-2025,227.600,10
12-06-2025,198.900,11
13-06-2025,121.600,6
14-06-2025,19.500,2
17-06-2025,17.800,2
18-06-2025,180.800,6
19-06-2025,218.500,9
20-06-2025,202.100,9
21-06-2025,132.400,4
24-06-2025,222.400,11
25-06-2025,154.500,8
26-06-2025,251.100,10
27-06-2025,151.000,7
28-06-2025,239.700,6
01-07-2025,482.400,16
02-07-2025,141.100,8
03-07-2025,74.000,4
04-07-2025,361.000,10
05-07-2025,561.200,18
08-07-2025,126.900,5
09-07-2025,213.300,12
10-07-2025,255.900,10
11-07-2025,323.100,12
12-07-2025,253.000,8
15-07-2025,190.000,8
16-07-2025,203.200,8
17-07-2025,304.700,14
18-07-2025,371.400,15
19-07-2025,191.600,10
22-07-2025,137.800,7
23-07-2025,226.700,11
24-07-2025,140.300,4
25-07-2025,300.000,13
26-07-2025,361.600,9
29-07-2025,213.800,11
30-07-2025,294.100,10
31-07-2025,278.100,12
01-08-2025,441.680,15
02-08-2025,281.400,8
05-08-2025,363.400,11
06-08-2025,275.200,9
07-08-2025,594.500,19
08-08-2025,447.400,14
09-08-2025,526.200,14
12-08-2025,399.900,14
13-08-2025,469.400,17
14-08-2025,460.500,17
15-08-2025,395.100,15
16-08-2025,344.200,13
19-08-2025,167.800,9
20-08-2025,372.700,13
21-08-2025,485.600,21
22-08-2025,629.500,25
23-08-2025,475.300,14
26-08-2025,388.100,11
27-08-2025,445.200,14
28-08-2025,234.190,10
29-08-2025,388.300,14
30-08-2025,215.600,10
02-09-2025,302.000,10
03-09-2025,162.600,7
04-09-2025,302.300,13
05-09-2025,324.050,11
06-09-2025,546.700,16
09-09-2025,315.900,14
10-09-2025,258.700,11
11-09-2025,504.100,17
12-09-2025,424.190,16
13-09-2025,480.800,14
15-09-2025,128.500,7
16-09-2025,321.100,18
24-09-2025,218.400,12
25-09-2025,180.700,7
26-09-2025,490.400,19
27-09-2025,561.800,14
30-09-2025,310.300,16
01-10-2025,247.400,11
02-10-2025,282.200,12
03-10-2025,270.500,9
04-10-2025,302.000,13
07-10-2025,252.000,14
08-10-2025,284.000,11
09-10-2025,175.500,14
10-10-2025,452.800,16
11-10-2025,437.590,13
14-10-2025,314.300,16
15-10-2025,195.800,8
16-10-2025,245.700,9
17-10-2025,287.900,13
18-10-2025,406.600,14
21-10-2025,229.700,10
22-10-2025,330.000,12
23-10-2025,127.700,4
24-10-2025,209.720,9
25-10-2025,386.800,11
28-10-2025,358.500,15
29-10-2025,199.900,9
30-10-2025,312.500,13
31-10-2025,261.000,10
01-11-2025,569.800,18
04-11-2025,320.750,12
05-11-2025,223.500,10
06-11-2025,250.100,13
07-11-2025,532.300,21
08-11-2025,485.800,13
11-11-2025,312.000,13
12-11-2025,268.000,7
13-11-2025,247.900,10
14-11-2025,178.500,12
15-11-2025,220.500,10
18-11-2025,269.100,14
19-11-2025,82.900,4
20-11-2025,295.000,11
21-11-2025,486.700,18
22-11-2025,169.500,8
25-11-2025,144.200,7
26-11-2025,366.000,17
27-11-2025,174.600,9
28-11-2025,220.100,11
29-11-2025,463.300,14
02-12-2025,307.500,12
03-12-2025,249.400,11
04-12-2025,112.000,5
05-12-2025,232.000,12
06-12-2025,203.700,6
09-12-2025,280.560,12
10-12-2025,364.200,13
11-12-2025,270.700,11
12-12-2025,250.700,10
13-12-2025,478.700,14
16-12-2025,204.300,9
17-12-2025,267.400,9
18-12-2025,239.800,10
19-12-2025,433.500,16
20-12-2025,417.800,16
23-12-2025,559.600,17
24-12-2025,182.900,3
26-12-2025,317.000,9
27-12-2025,658.100,15
30-12-2025,354.700,14
31-12-2025,99.000,6
